Id,BusinessName,RealCategory,Category,Address,City,State,PostalCode,Country,Phone,Email,Website,Latitude,Longitude,MapsLink,DetailsLink
"ChIJleF8QlIhDUAR9L_gUAWx8Uw","Bitlis Agiz ve Dis Sagligi Merkezi","Dentist","Dentist","Ahmet, Gazi Bey, Nurullah Eren Cd. No:, 13000 Bitlis Merkez/Bitlis, Türkiye","","Bitlis","13000","Türkiye","(0434) 246 84 50","","https://maps.google.com/?cid=5544407252659650548","38.4014102","42.1086091","https://www.google.com/maps/place/?q=place_id:ChIJleF8QlIhDUAR9L_gUAWx8Uw",""
"ChIJvc2Q1dFHC0ARnawT-O7QPWs","Dentis Grup Ağız ve Diş Sağlığı Polikliniği","Dentist","Dentist","Gap, 2504. Sk. 19-15, 72070 Batman Merkez/Batman, Türkiye","","Batman","72070","Türkiye","0553 753 39 72","","https://maps.google.com/?cid=7727562260420471965","37.8993439","41.13215659999999","https://www.google.com/maps/place/?q=place_id:ChIJvc2Q1dFHC0ARnawT-O7QPWs",""
"ChIJ-9rL8WPdLRUROWbehU7JL1w","Academy Dent-Maraş Ortodonti Yrd.Doç.Dr. Erdem HATUNOĞLU - Doç.Dr. Fatih AKSOY - Uzm. Dt. Kadriye ALTUNBAŞ","Dentist","Dentist","Menderes, Trabzon Blv. No:45, 46100 Kahramanmaraş Merkez/Kahramanmaraş, Türkiye","","Kahramanmaraş","46100","Türkiye","0545 426 46 46","","https://maps.google.com/?cid=6642749314485347897","37.5768698","36.9319165","https://www.google.com/maps/place/?q=place_id:ChIJ-9rL8WPdLRUROWbehU7JL1w",""
"ChIJyXHa2bkBD0AR3SEYuJifzvI","Özel Aydent Diş Poliklinik","Dentist","Dentist","Pehlivan Mahallesi Çölemerik Caddesi Aşan Apt, Pehlivan, No : 128, 30000 Hakkâri Merkez/Hakkari, Türkiye","","Hakkari","30000","Türkiye","0541 211 83 45","","https://maps.google.com/?cid=17496097080653390301","37.5742169","43.7314316","https://www.google.com/maps/place/?q=place_id:ChIJyXHa2bkBD0AR3SEYuJifzvI",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJ11ctS_QLxkcRI3RKHsLx298","Emerald Dental","Dentist","Dentist","Egoli 71, 1103 AC Amsterdam, Netherlands","Amsterdam","Noord-Holland","1103 AC","Netherlands","020 235 7470","","http://www.emeralddental.nl/contact/","52.3249549","4.963466299999999","https://www.google.com/maps/place/?q=place_id:ChIJ11ctS_QLxkcRI3RKHsLx298",""
"ChIJN_Uxu1OHDEARdJc_JeJMGcU","ÖZEL SMİLE DENT AĞIZ VE DİŞ SAĞLIĞI POLİKLİNİĞİ","Dentist","Dentist","Bahçelievler, 1414. Sk. No:15/10, 56100 Siirt Merkez/Siirt, Türkiye","","Siirt","56100","Türkiye","(0484) 224 04 03","","https://maps.google.com/?cid=14202467434060814196","37.9343453","41.9337179","https://www.google.com/maps/place/?q=place_id:ChIJN_Uxu1OHDEARdJc_JeJMGcU",""
"ChIJ22rupeGHb0ARZmmNGvHb_Bo","Eskicioğlu Ağız ve Diş Sağlığı Merkezi","Dentist","Dentist","Gençosman, Turgut Özal Blv. no:121/a, 69000 Bayburt Merkez/Bayburt, Türkiye","","Bayburt","69000","Türkiye","(0458) 202 07 07","","https://maps.google.com/?cid=1944670967696288102","40.251617","40.227758","https://www.google.com/maps/place/?q=place_id:ChIJ22rupeGHb0ARZmmNGvHb_Bo",""
"ChIJTQc2SU20xRQRpT2bNIK4-Fo","Dr. Askin Daldal","Dentist","Dentist","Bahçelievler, 108 Mehmet Akif Cad. Dereli Sitesi 1/2, 32040 Merkez/Isparta, Türkiye","","Isparta","32040","Türkiye","(0246) 242 52 58","","https://maps.google.com/?cid=6555192127005605285","37.7806983","30.5467626","https://www.google.com/maps/place/?q=place_id:ChIJTQc2SU20xRQRpT2bNIK4-Fo",""
